customer_id,plan_id,signup_date,status
C00000,P2,2023-04-30,active
C00001,P2,2023-01-07,active
C00002,P5,2023-01-26,active
C00003,P1,2023-05-22,active
C00004,P2,2023-04-14,active
C00005,P2,2023-03-22,active
C00006,P3,2023-01-11,active
C00007,P4,2023-01-08,active
C00008,P4,2023-02-08,active
C00009,P2,2023-05-28,active
C00010,P3,2023-02-26,suspended
C00011,P3,2023-05-07,active
C00012,P1,2023-03-21,active
C00013,P4,2023-02-19,cancelled
C00014,P5,2023-01-04,active
C00015,P1,2023-03-08,active
C00016,P4,2023-02-28,active
C00017,P2,2023-03-01,active
C00018,P3,2023-04-19,active
C00019,P3,2023-05-12,active
C00020,P2,2023-05-10,active
C00021,P3,2023-03-21,suspended
C00022,P2,2023-05-13,active
C00023,P1,2023-05-05,active
C00024,P3,2023-04-18,active
C00025,P5,2023-01-29,active
C00026,P3,2023-02-16,active
C00027,P2,2023-02-26,cancelled
C00028,P3,2023-02-03,active
C00029,P5,2023-05-19,active
C00030,P2,2023-03-04,active
C00031,P1,2023-05-03,active
C00032,P4,2023-05-28,active
C00033,P3,2023-04-22,active
C00034,P5,2023-02-26,active
C00035,P5,2023-05-17,active
C00036,P2,2023-05-29,active
C00037,P5,2023-02-09,active
C00038,P5,2023-04-27,active
C00039,P2,2023-01-29,active
C00040,P1,2023-03-06,active
C00041,P2,2023-02-06,cancelled
C00042,P6,2023-04-23,active
C00043,P3,2023-03-27,active
C00044,P3,2023-04-21,active
C00045,P3,2023-03-24,suspended
C00046,P5,2023-03-19,active
C00047,P1,2023-02-26,active
C00048,P2,2023-02-05,active
C00049,P6,2023-01-04,cancelled
C00050,P5,2023-02-25,active
C00051,P2,2023-02-28,active
C00052,P2,2023-03-21,suspended
C00053,P3,2023-05-03,active
C00054,P1,2023-01-05,active
C00055,P1,2023-04-21,active
C00056,P2,2023-05-21,active
C00057,P2,2023-02-27,active
C00058,P2,2023-03-09,active
C00059,P4,2023-02-06,active
C00060,P3,2023-02-04,active
C00061,P1,2023-03-24,active
C00062,P1,2023-03-21,active
C00063,P1,2023-01-05,active
C00064,P4,2023-04-02,active
C00065,P3,2023-02-12,active
C00066,P1,2023-03-27,active
C00067,P1,2023-01-25,active
C00068,P2,2023-02-19,active
C00069,P2,2023-05-13,active
C00070,P1,2023-05-11,active
C00071,P2,2023-01-15,suspended
C00072,P3,2023-02-26,active
C00073,P1,2023-02-15,active
C00074,P4,2023-04-11,active
C00075,P3,2023-02-09,active
C00076,P3,2023-03-04,active
C00077,P2,2023-05-27,active
C00078,P4,2023-05-15,active
C00079,P2,2023-04-29,active
C00080,P3,2023-03-14,active
C00081,P1,2023-01-26,active
C00082,P4,2023-01-07,active
C00083,P1,2023-01-19,active
C00084,P1,2023-03-06,active
C00085,P5,2023-02-24,active
C00086,P2,2023-02-22,cancelled
C00087,P1,2023-01-26,active
C00088,P1,2023-01-27,active
C00089,P2,2023-01-10,active
C00090,P1,2023-05-02,active
C00091,P2,2023-05-24,active
C00092,P5,2023-02-08,active
C00093,P4,2023-05-25,active
C00094,P6,2023-01-24,cancelled
C00095,P1,2023-04-15,active
C00096,P1,2023-04-03,active
C00097,P4,2023-04-21,active
C00098,P3,2023-01-24,active
C00099,P4,2023-05-20,active
C00100,P3,2023-01-15,active
C00101,P1,2023-05-19,cancelled
C00102,P5,2023-02-06,active
C00103,P5,2023-04-10,active
C00104,P3,2023-03-17,active
C00105,P2,2023-01-24,active
C00106,P1,2023-02-21,active
C00107,P4,2023-04-08,active
C00108,P3,2023-05-22,active
C00109,P4,2023-03-07,active
C00110,P1,2023-04-24,active
C00111,P2,2023-02-13,active
C00112,P1,2023-01-16,active
C00113,P2,2023-05-13,active
C00114,P4,2023-05-31,active
C00115,P4,2023-04-05,active
C00116,P1,2023-04-18,active
C00117,P1,2023-01-21,cancelled
C00118,P2,2023-01-10,active
C00119,P5,2023-05-02,active
C00120,P1,2023-05-12,active
C00121,P1,2023-01-31,active
C00122,P1,2023-03-13,suspended
C00123,P1,2023-05-03,active
C00124,P3,2023-05-28,active
C00125,P4,2023-05-12,active
C00126,P2,2023-01-17,cancelled
C00127,P3,2023-02-11,active
C00128,P4,2023-02-08,active
C00129,P4,2023-04-19,active
