defect_id,defect_family,customer_id,affected_invoice_id,expected_rule,expected_severity,injected_amount
D_allocation_000,allocation,C00327,INV_C00327_10,1,high,59.0
D_allocation_001,allocation,C00092,INV_C00092_10,1,critical,129.0
D_allocation_002,allocation,C00381,INV_C00381_10,1,critical,129.0
D_allocation_003,allocation,C00647,INV_C00647_10,1,high,59.0
D_allocation_004,allocation,C00633,INV_C00633_10,1,high,75.0
D_allocation_005,allocation,C00129,INV_C00129_10,1,high,99.0
D_allocation_006,allocation,C00853,INV_C00853_10,1,high,59.0
D_allocation_007,allocation,C00643,INV_C00643_10,1,high,89.0
D_allocation_008,allocation,C00012,INV_C00012_10,1,high,59.0
D_allocation_009,allocation,C00433,INV_C00433_10,1,high,89.0
D_allocation_010,allocation,C00800,INV_C00800_10,1,critical,129.0
D_allocation_011,allocation,C00135,INV_C00135_10,1,high,75.0
D_allocation_012,allocation,C00077,INV_C00077_10,1,high,75.0
D_allocation_013,allocation,C00308,INV_C00308_10,1,high,75.0
D_allocation_014,allocation,C00523,INV_C00523_10,1,critical,129.0
D_allocation_015,allocation,C00611,INV_C00611_10,1,high,99.0
D_allocation_016,allocation,C00670,INV_C00670_10,1,high,89.0
D_allocation_017,allocation,C00672,INV_C00672_10,1,critical,129.0
D_allocation_018,allocation,C00459,INV_C00459_10,1,high,59.0
D_allocation_019,allocation,C00984,INV_C00984_10,1,high,75.0
D_allocation_020,allocation,C00536,INV_C00536_10,1,high,75.0
D_allocation_021,allocation,C00355,INV_C00355_10,1,high,89.0
D_allocation_022,allocation,C00043,INV_C00043_10,1,high,89.0
D_allocation_023,allocation,C00895,INV_C00895_10,1,high,59.0
D_allocation_024,allocation,C00596,INV_C00596_10,1,high,59.0
D_allocation_025,allocation,C00405,INV_C00405_10,1,high,99.0
D_allocation_026,allocation,C00281,INV_C00281_10,1,high,99.0
D_allocation_027,allocation,C00336,INV_C00336_10,1,high,59.0
D_allocation_028,allocation,C00007,INV_C00007_10,1,high,99.0
D_allocation_029,allocation,C00829,INV_C00829_10,1,critical,129.0
D_allocation_030,allocation,C00741,INV_C00741_10,1,high,59.0
D_allocation_031,allocation,C00272,INV_C00272_10,1,high,99.0
D_allocation_032,allocation,C00432,INV_C00432_10,1,high,89.0
D_allocation_033,allocation,C00891,INV_C00891_10,1,high,75.0
D_allocation_034,allocation,C00167,INV_C00167_10,1,high,59.0
D_allocation_035,allocation,C00622,INV_C00622_10,1,high,59.0
D_allocation_036,allocation,C00238,INV_C00238_10,1,high,59.0
D_stale_000,stale_unswept_credit,C00277,,2,warning,59.8
D_stale_001,stale_unswept_credit,C00901,,2,warning,42.5
D_stale_002,stale_unswept_credit,C00524,,2,warning,42.5
D_stale_003,stale_unswept_credit,C00221,,2,warning,48.29
D_stale_004,stale_unswept_credit,C00493,,2,warning,43.68
D_stale_005,stale_unswept_credit,C00017,,2,warning,22.1
D_stale_006,stale_unswept_credit,C00682,,2,warning,31.28
D_stale_007,stale_unswept_credit,C00491,,2,warning,53.51
D_stale_008,stale_unswept_credit,C00259,,2,warning,35.99
D_stale_009,stale_unswept_credit,C00073,,2,warning,37.97
D_stale_010,stale_unswept_credit,C00268,,2,warning,51.06
D_stale_011,stale_unswept_credit,C00142,,2,warning,40.45
D_gap_000,statement_gap,C00327,INV_C00327_13,3,medium,0.0
D_gap_001,statement_gap,C00092,INV_C00092_13,3,medium,0.0
D_gap_002,statement_gap,C00381,INV_C00381_13,3,medium,0.0
D_gap_003,statement_gap,C00632,INV_C00632_13,3,medium,0.0
D_gap_004,statement_gap,C00070,INV_C00070_13,3,medium,0.0
D_gap_005,statement_gap,C00369,INV_C00369_13,3,medium,0.0
D_gap_006,statement_gap,C00784,INV_C00784_13,3,medium,0.0
D_gap_007,statement_gap,C00943,INV_C00943_13,3,medium,0.0
D_gap_008,statement_gap,C00353,INV_C00353_13,3,medium,0.0
D_dup_000,duplicate_invoice,C00142,INV_C00142_DUP0,5,medium,89.0
D_dup_001,duplicate_invoice,C00471,INV_C00471_DUP1,5,medium,89.0
D_dup_002,duplicate_invoice,C00289,INV_C00289_DUP2,5,medium,59.0
D_dup_003,duplicate_invoice,C00848,INV_C00848_DUP3,5,medium,59.0
D_dup_004,duplicate_invoice,C00636,INV_C00636_DUP4,5,medium,99.0
D_dup_005,duplicate_invoice,C00934,INV_C00934_DUP5,5,medium,59.0
D_dish_000,dishonour,C00661,INV_C00661_10,4,critical,89.0
D_dish_001,dishonour,C00599,INV_C00599_10,4,critical,99.0
D_dish_002,dishonour,C00219,INV_C00219_10,4,critical,129.0
D_dish_003,dishonour,C00189,INV_C00189_10,4,critical,59.0
