allocation_id,entry_id,invoice_id,amount_allocated,allocated_date
ALL_INV_C00000_00,ENT_INV_C00000_00_P,INV_C00000_00,75.0,2023-06-02
ALL_INV_C00000_01,ENT_INV_C00000_01_P,INV_C00000_01,75.0,2023-07-03
ALL_INV_C00000_02,ENT_INV_C00000_02_P,INV_C00000_02,75.0,2023-08-02
ALL_INV_C00000_03,ENT_INV_C00000_03_P,INV_C00000_03,75.0,2023-09-02
ALL_INV_C00000_04,ENT_INV_C00000_04_P,INV_C00000_04,75.0,2023-10-03
ALL_INV_C00000_05,ENT_INV_C00000_05_P,INV_C00000_05,75.0,2023-11-02
ALL_INV_C00000_06,ENT_INV_C00000_06_P,INV_C00000_06,75.0,2023-12-03
ALL_INV_C00000_07,ENT_INV_C00000_07_P,INV_C00000_07,75.0,2024-01-02
ALL_INV_C00000_08,ENT_INV_C00000_08_P,INV_C00000_08,75.0,2024-02-02
ALL_INV_C00000_09,ENT_INV_C00000_09_P,INV_C00000_09,75.0,2024-03-03
ALL_INV_C00000_10,ENT_INV_C00000_10_P,INV_C00000_10,75.0,2024-04-02
ALL_INV_C00000_11,ENT_INV_C00000_11_P,INV_C00000_11,75.0,2024-05-03
ALL_INV_C00000_12,ENT_INV_C00000_12_P,INV_C00000_12,75.0,2024-06-02
ALL_INV_C00000_13,ENT_INV_C00000_13_P,INV_C00000_13,75.0,2024-07-03
ALL_INV_C00000_14,ENT_INV_C00000_14_P,INV_C00000_14,75.0,2024-08-02
ALL_INV_C00000_15,ENT_INV_C00000_15_P,INV_C00000_15,75.0,2024-09-02
ALL_INV_C00000_16,ENT_INV_C00000_16_P,INV_C00000_16,75.0,2024-10-03
ALL_INV_C00000_17,ENT_INV_C00000_17_P,INV_C00000_17,75.0,2024-11-02
ALL_INV_C00000_18,ENT_INV_C00000_18_P,INV_C00000_18,75.0,2024-12-03
ALL_INV_C00000_19,ENT_INV_C00000_19_P,INV_C00000_19,75.0,2025-01-02
ALL_INV_C00000_20,ENT_INV_C00000_20_P,INV_C00000_20,75.0,2025-02-02
ALL_INV_C00000_21,ENT_INV_C00000_21_P,INV_C00000_21,75.0,2025-03-03
ALL_INV_C00000_22,ENT_INV_C00000_22_P,INV_C00000_22,75.0,2025-04-02
ALL_INV_C00000_23,ENT_INV_C00000_23_P,INV_C00000_23,75.0,2025-05-03
ALL_INV_C00001_00,ENT_INV_C00001_00_P,INV_C00001_00,75.0,2023-02-10
ALL_INV_C00001_01,ENT_INV_C00001_01_P,INV_C00001_01,75.0,2023-03-10
ALL_INV_C00001_02,ENT_INV_C00001_02_P,INV_C00001_02,75.0,2023-04-10
ALL_INV_C00001_03,ENT_INV_C00001_03_P,INV_C00001_03,75.0,2023-05-10
ALL_INV_C00001_04,ENT_INV_C00001_04_P,INV_C00001_04,75.0,2023-06-10
ALL_INV_C00001_05,ENT_INV_C00001_05_P,INV_C00001_05,75.0,2023-07-10
ALL_INV_C00001_06,ENT_INV_C00001_06_P,INV_C00001_06,75.0,2023-08-10
ALL_INV_C00001_07,ENT_INV_C00001_07_P,INV_C00001_07,75.0,2023-09-10
ALL_INV_C00001_08,ENT_INV_C00001_08_P,INV_C00001_08,75.0,2023-10-10
ALL_INV_C00001_09,ENT_INV_C00001_09_P,INV_C00001_09,75.0,2023-11-10
ALL_INV_C00001_10,ENT_INV_C00001_10_P,INV_C00001_10,75.0,2023-12-10
ALL_INV_C00001_11,ENT_INV_C00001_11_P,INV_C00001_11,75.0,2024-01-10
ALL_INV_C00001_12,ENT_INV_C00001_12_P,INV_C00001_12,75.0,2024-02-10
ALL_INV_C00001_13,ENT_INV_C00001_13_P,INV_C00001_13,75.0,2024-03-10
ALL_INV_C00001_14,ENT_INV_C00001_14_P,INV_C00001_14,75.0,2024-04-10
ALL_INV_C00001_15,ENT_INV_C00001_15_P,INV_C00001_15,75.0,2024-05-10
ALL_INV_C00001_16,ENT_INV_C00001_16_P,INV_C00001_16,75.0,2024-06-10
ALL_INV_C00001_17,ENT_INV_C00001_17_P,INV_C00001_17,75.0,2024-07-10
ALL_INV_C00001_18,ENT_INV_C00001_18_P,INV_C00001_18,75.0,2024-08-10
ALL_INV_C00001_19,ENT_INV_C00001_19_P,INV_C00001_19,75.0,2024-09-10
ALL_INV_C00001_20,ENT_INV_C00001_20_P,INV_C00001_20,75.0,2024-10-10
ALL_INV_C00001_21,ENT_INV_C00001_21_P,INV_C00001_21,75.0,2024-11-10
ALL_INV_C00001_22,ENT_INV_C00001_22_P,INV_C00001_22,75.0,2024-12-10
ALL_INV_C00001_23,ENT_INV_C00001_23_P,INV_C00001_23,75.0,2025-01-10
ALL_INV_C00002_00,ENT_INV_C00002_00_P,INV_C00002_00,129.0,2023-03-01
ALL_INV_C00002_01,ENT_INV_C00002_01_P,INV_C00002_01,129.0,2023-03-29
ALL_INV_C00002_02,ENT_INV_C00002_02_P,INV_C00002_02,129.0,2023-04-29
ALL_INV_C00002_03,ENT_INV_C00002_03_P,INV_C00002_03,129.0,2023-05-29
ALL_INV_C00002_04,ENT_INV_C00002_04_P,INV_C00002_04,129.0,2023-06-29
ALL_INV_C00002_05,ENT_INV_C00002_05_P,INV_C00002_05,129.0,2023-07-29
ALL_INV_C00002_06,ENT_INV_C00002_06_P,INV_C00002_06,129.0,2023-08-29
ALL_INV_C00002_07,ENT_INV_C00002_07_P,INV_C00002_07,129.0,2023-09-29
ALL_INV_C00002_08,ENT_INV_C00002_08_P,INV_C00002_08,129.0,2023-10-29
ALL_INV_C00002_09,ENT_INV_C00002_09_P,INV_C00002_09,129.0,2023-11-29
ALL_INV_C00002_10,ENT_INV_C00002_10_P,INV_C00002_10,129.0,2023-12-29
ALL_INV_C00002_11,ENT_INV_C00002_11_P,INV_C00002_11,129.0,2024-01-29
ALL_INV_C00002_12,ENT_INV_C00002_12_P,INV_C00002_12,129.0,2024-02-29
ALL_INV_C00002_13,ENT_INV_C00002_13_P,INV_C00002_13,129.0,2024-03-29
ALL_INV_C00002_14,ENT_INV_C00002_14_P,INV_C00002_14,129.0,2024-04-29
ALL_INV_C00002_15,ENT_INV_C00002_15_P,INV_C00002_15,129.0,2024-05-29
ALL_INV_C00002_16,ENT_INV_C00002_16_P,INV_C00002_16,129.0,2024-06-29
ALL_INV_C00002_17,ENT_INV_C00002_17_P,INV_C00002_17,129.0,2024-07-29
ALL_INV_C00002_18,ENT_INV_C00002_18_P,INV_C00002_18,129.0,2024-08-29
ALL_INV_C00002_19,ENT_INV_C00002_19_P,INV_C00002_19,129.0,2024-09-29
ALL_INV_C00002_20,ENT_INV_C00002_20_P,INV_C00002_20,129.0,2024-10-29
ALL_INV_C00002_21,ENT_INV_C00002_21_P,INV_C00002_21,129.0,2024-11-29
ALL_INV_C00002_22,ENT_INV_C00002_22_P,INV_C00002_22,129.0,2024-12-29
ALL_INV_C00002_23,ENT_INV_C00002_23_P,INV_C00002_23,129.0,2025-01-29
ALL_INV_C00003_00,ENT_INV_C00003_00_P,INV_C00003_00,59.0,2023-06-25
ALL_INV_C00003_01,ENT_INV_C00003_01_P,INV_C00003_01,59.0,2023-07-25
ALL_INV_C00003_02,ENT_INV_C00003_02_P,INV_C00003_02,59.0,2023-08-25
ALL_INV_C00003_03,ENT_INV_C00003_03_P,INV_C00003_03,59.0,2023-09-25
ALL_INV_C00003_04,ENT_INV_C00003_04_P,INV_C00003_04,59.0,2023-10-25
ALL_INV_C00003_05,ENT_INV_C00003_05_P,INV_C00003_05,59.0,2023-11-25
ALL_INV_C00003_06,ENT_INV_C00003_06_P,INV_C00003_06,59.0,2023-12-25
ALL_INV_C00003_07,ENT_INV_C00003_07_P,INV_C00003_07,59.0,2024-01-25
ALL_INV_C00003_08,ENT_INV_C00003_08_P,INV_C00003_08,59.0,2024-02-25
ALL_INV_C00003_09,ENT_INV_C00003_09_P,INV_C00003_09,59.0,2024-03-25
ALL_INV_C00003_10,ENT_INV_C00003_10_P,INV_C00003_10,59.0,2024-04-25
ALL_INV_C00003_11,ENT_INV_C00003_11_P,INV_C00003_11,59.0,2024-05-25
ALL_INV_C00003_12,ENT_INV_C00003_12_P,INV_C00003_12,59.0,2024-06-25
ALL_INV_C00003_13,ENT_INV_C00003_13_P,INV_C00003_13,59.0,2024-07-25
