entry_id,customer_id,type,amount,effective_date,source,status
ENT_INV_C00000_00_D,C00000,invoice_debit,-75.0,2023-04-30,invoice,settled
ENT_INV_C00000_00_P,C00000,payment,75.0,2023-06-02,direct_debit,settled
ENT_INV_C00000_01_D,C00000,invoice_debit,-75.0,2023-05-30,invoice,settled
ENT_INV_C00000_01_P,C00000,payment,75.0,2023-07-03,direct_debit,settled
ENT_INV_C00000_02_D,C00000,invoice_debit,-75.0,2023-06-30,invoice,settled
ENT_INV_C00000_02_P,C00000,payment,75.0,2023-08-02,direct_debit,settled
ENT_INV_C00000_03_D,C00000,invoice_debit,-75.0,2023-07-30,invoice,settled
ENT_INV_C00000_03_P,C00000,payment,75.0,2023-09-02,direct_debit,settled
ENT_INV_C00000_04_D,C00000,invoice_debit,-75.0,2023-08-30,invoice,settled
ENT_INV_C00000_04_P,C00000,payment,75.0,2023-10-03,direct_debit,settled
ENT_INV_C00000_05_D,C00000,invoice_debit,-75.0,2023-09-30,invoice,settled
ENT_INV_C00000_05_P,C00000,payment,75.0,2023-11-02,direct_debit,settled
ENT_INV_C00000_06_D,C00000,invoice_debit,-75.0,2023-10-30,invoice,settled
ENT_INV_C00000_06_P,C00000,payment,75.0,2023-12-03,direct_debit,settled
ENT_INV_C00000_07_D,C00000,invoice_debit,-75.0,2023-11-30,invoice,settled
ENT_INV_C00000_07_P,C00000,payment,75.0,2024-01-02,direct_debit,settled
ENT_INV_C00000_08_D,C00000,invoice_debit,-75.0,2023-12-30,invoice,settled
ENT_INV_C00000_08_P,C00000,payment,75.0,2024-02-02,direct_debit,settled
ENT_INV_C00000_09_D,C00000,invoice_debit,-75.0,2024-01-30,invoice,settled
ENT_INV_C00000_09_P,C00000,payment,75.0,2024-03-03,direct_debit,settled
ENT_INV_C00000_10_D,C00000,invoice_debit,-75.0,2024-02-29,invoice,settled
ENT_INV_C00000_10_P,C00000,payment,75.0,2024-04-02,direct_debit,settled
ENT_INV_C00000_11_D,C00000,invoice_debit,-75.0,2024-03-30,invoice,settled
ENT_INV_C00000_11_P,C00000,payment,75.0,2024-05-03,direct_debit,settled
ENT_INV_C00000_12_D,C00000,invoice_debit,-75.0,2024-04-30,invoice,settled
ENT_INV_C00000_12_P,C00000,payment,75.0,2024-06-02,direct_debit,settled
ENT_INV_C00000_13_D,C00000,invoice_debit,-75.0,2024-05-30,invoice,settled
ENT_INV_C00000_13_P,C00000,payment,75.0,2024-07-03,direct_debit,settled
ENT_INV_C00000_14_D,C00000,invoice_debit,-75.0,2024-06-30,invoice,settled
ENT_INV_C00000_14_P,C00000,payment,75.0,2024-08-02,direct_debit,settled
ENT_INV_C00000_15_D,C00000,invoice_debit,-75.0,2024-07-30,invoice,settled
ENT_INV_C00000_15_P,C00000,payment,75.0,2024-09-02,direct_debit,settled
ENT_INV_C00000_16_D,C00000,invoice_debit,-75.0,2024-08-30,invoice,settled
ENT_INV_C00000_16_P,C00000,payment,75.0,2024-10-03,direct_debit,settled
ENT_INV_C00000_17_D,C00000,invoice_debit,-75.0,2024-09-30,invoice,settled
ENT_INV_C00000_17_P,C00000,payment,75.0,2024-11-02,direct_debit,settled
ENT_INV_C00000_18_D,C00000,invoice_debit,-75.0,2024-10-30,invoice,settled
ENT_INV_C00000_18_P,C00000,payment,75.0,2024-12-03,direct_debit,settled
ENT_INV_C00000_19_D,C00000,invoice_debit,-75.0,2024-11-30,invoice,settled
